,ns,Ts,V0s,Is_0,Is_1,Is_2
0,251462559034.75027,1371.5743458875,-0.6930024884730648,-1.2535842898094931e-06,-9.945306942560563e-07,-2.525906448209519e-06
1,45487413712.45876,1461.231242876622,-0.7579123422691598,-2.8046264598425707e-07,-2.217594255932389e-07,-6.288151993685896e-07
2,78839019346.22238,1463.2858563342065,-1.5293834623730662,-3.752820336209011e-07,-2.3944159074175403e-07,-9.102214327847061e-07
3,200415907499.52603,1684.163744163536,-1.3806963539487387,-8.642001506616543e-07,-5.968847142410746e-07,-1.9443109640035695e-06
4,42314838537.69491,867.6612978505735,-1.0913771421584388,-2.666411384022317e-07,-1.8894814056535302e-07,-6.114219174041444e-07
5,45239434669.9606,1572.5531029116203,-0.4529181622917424,-2.945837643473755e-07,-2.462099607843463e-07,-6.400983750746396e-07
6,75041998889.62941,691.1002650998837,-0.8980972841175014,-4.701234148978767e-07,-3.407482941599381e-07,-9.931579711470216e-07
7,42071960379.61539,1139.0446818057894,-1.3112001347998092,-2.3721184446108922e-07,-1.6127086915623572e-07,-5.711196497019839e-07
8,111333398106.40514,2328.646574604817,-1.8501285606559927,-4.3282092049833985e-07,-2.537261475041988e-07,-1.106358184352245e-06
9,76892423991.48422,1943.9499553920755,-1.660217495783145,-3.372355383025092e-07,-2.1028707404556575e-07,-8.468418906421754e-07
10,119264601531.73326,1533.4752746630884,-1.1807000248372752,-5.918601203010527e-07,-4.222418572827571e-07,-1.3251535192270475e-06
11,93454729518.05392,2613.780180484887,-0.8968989848073665,-4.742968650401826e-07,-3.7557434870810225e-07,-1.0580103793760652e-06
12,118920487857.28558,1430.1552868931078,-0.3781937272228575,-7.201870063082407e-07,-5.885987609819585e-07,-1.4559888704300983e-06
13,47611910156.13204,658.2520722023883,-0.7478983766937388,-3.3676904492151043e-07,-2.5185676102105897e-07,-7.170337241983546e-07
14,77732253621.03249,1917.6628303644077,-0.9738005131160192,-4.1406468835943764e-07,-3.157201754194714e-07,-9.338014878321587e-07
15,59227083413.19498,2205.2171173337656,-1.813721041080262,-2.463852599145167e-07,-1.4529500846756564e-07,-6.47554851023451e-07
16,267975014892.03625,1063.9998834322098,-1.7504580587419523,-1.0101537388907724e-06,-6.068794788484903e-07,-2.3520759549960804e-06
17,100278321719.21901,1993.4423440819294,-0.026080760849744866,-6.371923666095073e-07,-5.547367280558198e-07,-1.2800801100921488e-06
18,190691545647.66324,2467.848609536873,-0.23017825329770703,-1.0458259998308783e-06,-8.968631365688398e-07,-2.0833693625738367e-06
19,293286184214.1633,2653.9442977551507,-0.8341697187564994,-1.3253318960442036e-06,-1.0670212619921708e-06,-2.7585706742054803e-06
20,56139559499.981094,343.6190524977295,-1.7951545137939264,-3.006424629253594e-07,-1.5311206938796127e-07,-7.162050182210825e-07
21,151380369625.97986,368.0506295842151,-1.6129974654414925,-6.810583080137809e-07,-4.113229674248621e-07,-1.50165297041976e-06
22,119575880007.85283,2102.513333104692,-1.063665539314781,-5.879579182475925e-07,-4.4124483255265147e-07,-1.3120930924855979e-06
23,60105950827.734055,657.166998041733,-1.0388157309706152,-3.800039263324292e-07,-2.6630090163667314e-07,-8.276744003701679e-07
24,157428038749.47565,2520.3494392338243,-1.094942043170254,-7.277158247523483e-07,-5.514106050269989e-07,-1.6144100255959177e-06
25,199833630914.17288,1893.4854109407815,-0.07359053840005236,-1.1522684391521402e-06,-9.891272176252057e-07,-2.2317689542702423e-06
26,72340013811.89966,1251.2998287181413,-0.3046165596595527,-4.857367221757904e-07,-4.007312404090533e-07,-9.975031685001734e-07
27,69451885804.56604,1353.1490456949286,-1.7568289646182584,-3.1520029894390407e-07,-1.8017247496300174e-07,-8.019670512097929e-07
28,53363916166.7919,446.8484583202054,-0.9104028226887049,-3.6992180585477525e-07,-2.6230840951107413e-07,-7.747840609901901e-07
29,125778927448.95116,839.2646266580803,-0.4909207078805331,-7.714006652352559e-07,-6.07227696729325e-07,-1.526128943443862e-06
30,264865829590.41568,1458.0824994256589,-0.39035208982887526,-1.3904753218569259e-06,-1.1513259018777537e-06,-2.713488266543923e-06
31,156211888752.23682,1868.9219717690942,-1.0724251347928138,-7.515141677661152e-07,-5.588969460338833e-07,-1.6452635466229487e-06
32,41390434988.83231,2542.8457179381026,-0.04301393878026438,-2.638847011901561e-07,-2.4087399980962206e-07,-5.604650949564656e-07
33,53511028137.73478,2108.824378110692,-0.7899674244599393,-3.006163673969363e-07,-2.4182302942426494e-07,-6.784102179159185e-07
34,165224744854.6859,1628.1936554333388,-0.37288661817478497,-9.383722091141328e-07,-7.732139636402991e-07,-1.874668230545165e-06
35,86586422778.67978,489.5644009177846,-0.25901159568339316,-6.219233979451758e-07,-4.936830597550105e-07,-1.1810782188115558e-06
36,207840311577.76114,1435.9644571013855,-1.842716897513104,-7.826800548695291e-07,-4.4867604342952984e-07,-1.8975885576331338e-06
37,149515756777.83566,1033.9170420528048,-1.115493417441794,-7.538547302009498e-07,-5.374029947193121e-07,-1.6185033223463315e-06
38,94110203430.46062,2730.945986864783,-0.7752925013147329,-4.876119295839159e-07,-3.956835991647615e-07,-1.0728322708498985e-06
39,50979591723.66952,2497.390900711883,-0.22754717945147096,-3.128868510103547e-07,-2.771397195971477e-07,-6.694550870089818e-07
40,125801188862.02838,2145.695208830939,-1.742783236145571,-5.055296015612797e-07,-3.095435130701904e-07,-1.2539934617419245e-06
41,221365644480.58142,1872.6630010702588,-1.5506063362475386,-8.888845067190145e-07,-5.901401807525953e-07,-2.052537724435521e-06
42,63527541759.47573,805.3537929098917,-1.390635850234176,-3.521183677629631e-07,-2.2560137675278322e-07,-8.186789537478424e-07
43,61885343574.30236,2225.785297955479,-0.7285760861724158,-3.460501889908459e-07,-2.81248664629881e-07,-7.705433393352357e-07
44,182403513145.80002,2208.662025823359,-0.1918659881385263,-1.0264651936999252e-06,-8.777679466408939e-07,-2.032871283822316e-06
45,56234327583.61866,2524.8741406274135,-0.4134542915155026,-3.301383614989884e-07,-2.849043624648729e-07,-7.160018559263126e-07
46,119124758298.24103,1116.717439908872,-1.1312563755559304,-6.191019616197138e-07,-4.3840174314511843e-07,-1.3541047340793917e-06
47,93135975954.46417,1274.1481287234387,-1.0606190552096622,-5.050932463778769e-07,-3.6562425122350894e-07,-1.118252861059398e-06
48,55751164382.85441,550.7951390301072,-0.5030092197093892,-4.1478147445680557e-07,-3.192628364207031e-07,-8.366524240076225e-07
49,120968605806.98141,1651.6333167789257,-1.0714605001851591,-6.112415422225685e-07,-4.4955452345225577e-07,-1.3509793414556537e-06
50,211289312819.7163,406.67821965870326,-1.488288636743215,-9.156398918618322e-07,-5.963539013381168e-07,-1.9671764186918305e-06
51,99774915023.18047,1592.426157650218,-1.7991883311588392,-4.189490812902701e-07,-2.3969499445182983e-07,-1.0566176079907242e-06
52,47208678440.85582,827.0675736773276,-1.1010926130861698,-2.9520263569977105e-07,-2.073172219189599e-07,-6.706062151283888e-07
53,66868245956.787384,642.1765116352335,-0.5864331304771411,-4.645865907992983e-07,-3.550136857930641e-07,-9.457754389826443e-07
54,224015556966.28006,1350.1444667900107,-1.9618489327640192,-8.031663766543193e-07,-4.292942529040526e-07,-1.9846672521715297e-06
55,40223391557.32347,2372.852202580946,-1.956658307990383,-1.597960116258305e-07,-8.782380764363026e-08,-4.3952155407210265e-07
56,158683347853.04745,2317.772966917257,-1.3358975129093398,-6.945579587933954e-07,-4.944558822358668e-07,-1.5896074262513242e-06
57,64352828720.55292,2351.482539934399,-0.36041882007434456,-3.84998070699845e-07,-3.31176232104968e-07,-8.237433796882926e-07
58,239654181439.94315,2355.3447266595595,-1.0239238168505584,-1.0756848770260615e-06,-8.282000732381121e-07,-2.3057522688710833e-06
59,128021924204.31776,2799.408500923029,-1.4023441615539698,-5.49915395509708e-07,-3.909841755036172e-07,-1.2932404637443756e-06
60,142569765101.48654,2526.4362233523957,-1.3021802037364147,-6.310280311290893e-07,-4.5611658035974105e-07,-1.449530262663785e-06
61,197843118799.76196,2467.7321243007814,-0.20860679881445754,-1.084263639062437e-06,-9.319163290913859e-07,-2.1514642286275632e-06
62,231576319823.98413,794.8631045170121,-1.0221017850472602,-1.1079594372259881e-06,-8.194588524744712e-07,-2.2802690521932256e-06
63,76515438570.01088,895.8272881326224,-1.6295533099914012,-3.777481960608003e-07,-2.2205549881638287e-07,-9.115359867566589e-07
64,53727141118.076935,2050.3128700970537,-0.31267379542153906,-3.373352710955966e-07,-2.909361382492688e-07,-7.22364318623306e-07
65,128914608562.53603,1194.0536093680607,-1.828403305485271,-5.332582396506822e-07,-2.9480068246179813e-07,-1.314932696321004e-06
66,111161000912.00456,821.0256900252,-0.8624210305900177,-6.423643642611642e-07,-4.7464824954394013e-07,-1.3351904772144779e-06
67,58292822288.53948,2468.3613010158156,-1.6756671861758015,-2.487692894898815e-07,-1.5910475495201974e-07,-6.375833666433229e-07
