,ns,Ts,V0s,Is_0,Is_1,Is_2
0,114683019321.92946,2755.9248729577603,-1.9493145376288445,-4.446611340062971e-06,-6.15348608735774e-06,-3.634846416820996e-05
1,84868909570.60016,1613.9939555533506,-0.8323881934574833,-5.986130979161733e-06,-1.2286282002900533e-05,-3.8222066421777815e-05
2,209357291334.18286,1370.6462549118962,-1.8125868011450732,-1.0448359599208975e-05,-1.4173243560927836e-05,-6.888678931043417e-05
3,105019625905.26431,1537.6154135346019,-0.1529780626596624,-8.901433786891187e-06,-2.0092181125924924e-05,-5.063825136519549e-05
4,153114271537.54874,1605.174896999548,-0.9235987967770778,-1.0133318576618163e-05,-1.9920989763800672e-05,-6.142775426038366e-05
5,42565849177.842415,787.0915415673053,-0.965936383494761,-3.931876278757013e-06,-7.39007041474102e-06,-2.4738848929924783e-05
6,59197921885.18567,1823.4806113566672,-0.965450329120028,-3.894824116388404e-06,-7.922930869894992e-06,-2.6608369026270767e-05
7,221081376883.10687,789.3124981875851,-1.6105927782739653,-1.358891763623537e-05,-1.874216924206363e-05,-7.208180356142239e-05
8,178497526319.5002,1506.3210549854189,-0.13561165857560087,-1.4619006121148595e-05,-3.1893320109977324e-05,-7.706776176217808e-05
9,68335685744.48157,934.4262251855157,-0.029862941864512882,-7.3479297150436e-06,-1.6148966689244568e-05,-3.980262041772492e-05
10,50715424082.34398,2567.7960844675094,-1.4067220893112413,-2.545844626019206e-06,-4.66413829402573e-06,-1.935308398491216e-05
11,110620133066.0895,496.60029180619404,-0.6739587694631342,-1.1261617993136907e-05,-1.9152424280969264e-05,-5.0480357351512806e-05
12,110300452826.17213,2734.064631294459,-0.24175580141941677,-7.3889662186007394e-06,-1.7560095151670778e-05,-4.552415870118583e-05
13,79203216883.7391,527.3371005045085,-1.7058805763769216,-6.0167457819766666e-06,-7.740897369425552e-06,-3.6094870506533695e-05
14,54424354479.71365,421.89472962919865,-0.9771299358893806,-5.960920761020234e-06,-1.0018226564530232e-05,-3.152994897497279e-05
15,42978466874.30273,1181.8043359561561,-1.03379575802455,-3.323279272102602e-06,-6.419583044420756e-06,-2.2477318111108014e-05
16,125387166523.41064,565.048237406211,-1.7646440690395022,-8.545068636827433e-06,-1.0471083451902891e-05,-4.763045553087949e-05
17,114265500013.35086,1972.6265243762948,-1.655169142880018,-5.6101071973621e-06,-8.902296947614224e-06,-4.148069300796439e-05
18,48998034774.54254,2508.2667146129083,-0.8103483167429384,-2.999786997058957e-06,-6.514018444912439e-06,-2.073990645034456e-05
19,245428816680.8482,554.1080543502596,-1.8462949761421414,-1.430063410738375e-05,-1.6130493525994492e-05,-6.784012657115671e-05
20,55133652660.49608,1849.2658209698282,-0.4570893930405868,-4.177099597358131e-06,-9.444525782691507e-06,-2.6784323867102122e-05
21,89060249503.22969,2573.2279690505084,-0.9002241121204664,-5.162193700631834e-06,-1.0946875841726789e-05,-3.4948077909230436e-05
22,99797640977.56328,2531.1290941947314,-1.2139491411116798,-5.261527517285097e-06,-1.026390572288531e-05,-3.706881553742565e-05
23,223377730158.1829,1471.7949374175096,-1.926959519991468,-1.0360952258713393e-05,-1.307176781849691e-05,-7.073346719441694e-05
24,50059252260.15018,942.8379086300654,-1.2310466847128658,-3.925079024400699e-06,-6.926756379100632e-06,-2.613011880428106e-05
25,54616541916.088585,1314.854144611083,-0.7406818523353287,-4.375232120750514e-06,-9.087086737896846e-06,-2.7997606539919462e-05
26,93462020336.37334,1773.623059229619,-0.8844923334140327,-6.2377757756176375e-06,-1.2757717088246887e-05,-4.028092459785433e-05
27,40506822328.555466,1295.894731078181,-1.785600411929996,-2.3057876709581497e-06,-3.2153096152588183e-06,-1.8419488890769916e-05
28,44199659071.7422,2350.195151900562,-1.595593656970177,-2.1502949009565807e-06,-3.59213341946825e-06,-1.702020897008802e-05
29,139987030856.99124,2773.041353226567,-0.060125695776585886,-9.63861269381177e-06,-2.3292978286060667e-05,-5.721438525798757e-05
30,112950943993.19128,1121.6423045432755,-1.6986582548766005,-6.617834616375103e-06,-9.468924465315567e-06,-4.520035815734104e-05
31,47855129560.13944,1716.776175147607,-1.269019007344242,-2.9466680773457875e-06,-5.468122738649993e-06,-2.140147521964681e-05
32,87116261813.68068,1122.6985905291415,-0.13213656484455782,-8.401129481484435e-06,-1.8427326993388257e-05,-4.6182240208646884e-05
33,76316699374.00026,1633.6193389753885,-0.22584108676873038,-6.342876540817753e-06,-1.4487484465748379e-05,-3.78217989504591e-05
34,185712029758.81863,750.4397055123294,-0.2703501483005275,-1.7523897836445803e-05,-3.261144187549684e-05,-7.623378779147463e-05
35,175592454433.36057,1037.9043051795359,-1.9411589510073097,-9.138275030860758e-06,-1.0765172227164626e-05,-5.96604747413725e-05
36,72897392772.6577,928.0644204428356,-1.7150671628024394,-4.680467737618469e-06,-6.528570242859375e-06,-3.2928638714594615e-05
37,197978193402.5341,2133.6432944490994,-1.664885283872382,-9.17100892742289e-06,-1.4555036535454512e-05,-6.476080274108667e-05
38,179255078828.0191,901.5579826176698,-1.9323553465477217,-9.691724675795437e-06,-1.1235986252032435e-05,-6.009971542654891e-05
39,227644499297.56064,1055.3212233467134,-0.6584522761637637,-1.7494824433911922e-05,-3.2624537120335335e-05,-8.498876797642093e-05
40,152471559342.298,2003.3514172964642,-0.3356011644873058,-1.0981262865934644e-05,-2.4606141409119245e-05,-6.389821311578742e-05
41,77510351017.22057,766.2258757834902,-1.684260321344247,-5.339210745893278e-06,-7.382288405759889e-06,-3.55164963179312e-05
42,103573010645.80736,595.3676241605385,-1.4026993166959778,-8.198816300241798e-06,-1.2199762051309257e-05,-4.472977605571605e-05
43,80742606823.58925,1605.9006799567749,-1.4137519821633477,-4.74570171960468e-06,-8.23031711400746e-06,-3.358875632258211e-05
44,56603602368.43353,638.2753503171732,-0.9569094197962333,-5.493779477200722e-06,-9.921479288122825e-06,-3.202564912216964e-05
45,99354133738.18367,2010.3797625684103,-0.08906348437552092,-7.784025113488405e-06,-1.8315362932983078e-05,-4.586854237721783e-05
46,42528924408.48732,360.51637541780536,-1.9252032256444076,-3.5664333118511407e-06,-3.768205453870609e-06,-2.3264277954393086e-05
47,41157111716.87835,1232.338438870685,-0.6698372744770671,-3.4968264635026227e-06,-7.398884360803024e-06,-2.2606462963423654e-05
48,242223094896.94293,2339.4260679226645,-0.7364315998809867,-1.446582482605554e-05,-3.049989552839938e-05,-8.606951652248107e-05
49,56872099634.58761,440.1331867748254,-1.2043824624370199,-5.695050288737e-06,-9.032856723256157e-06,-3.1429643566461644e-05
50,196441528265.28207,1830.0765321669285,-1.2603570692102868,-1.1020675595379842e-05,-2.0038398302285024e-05,-6.997646039453799e-05
51,71149399858.3921,2327.0226690932113,-0.3184100981228397,-5.0580250195666565e-06,-1.1840768623643055e-05,-3.197772691420295e-05
52,179790116875.98376,1220.7243030725344,-1.7954977439002664,-9.475264181721007e-06,-1.279194764954455e-05,-6.219337645578223e-05
53,102454220517.31218,518.6486698601011,-1.7088960631461543,-7.504221862383902e-06,-9.446825661514537e-06,-4.180803693184911e-05
54,44147376350.34797,2356.223042773848,-0.630195839303004,-2.9222188561311435e-06,-6.558146519325981e-06,-1.9765019562461363e-05
55,250600279174.32602,2775.5193674909574,-0.971741829586525,-1.3224349747825608e-05,-2.725456467226504e-05,-8.340668214152e-05
56,171992626210.62027,648.8285566963423,-0.6696658340761414,-1.533579043963376e-05,-2.6490392453455288e-05,-6.822053836497302e-05
57,128170418501.5686,1689.4676289191932,-0.024542637753280472,-1.0678626156753084e-05,-2.4505925474918485e-05,-5.9499760508856486e-05
58,138542472225.9927,997.1632899784433,-0.8285492232501983,-1.1016850111213248e-05,-2.0607288347316094e-05,-5.9923559271209885e-05
59,150583563069.4809,1967.9204734002699,-1.977986472447396,-6.400620543787446e-06,-8.12817815437905e-06,-4.974209999526254e-05
60,121055839664.21736,340.5689594757677,-1.8801670775753503,-8.701431653770042e-06,-8.978273156935804e-06,-4.184847236815487e-05
61,254035777902.17117,385.96747552874376,-0.8678421119694975,-2.0069402461002588e-05,-2.9657388880036748e-05,-7.187564357166882e-05
62,200943763780.5852,1397.7045446797106,-1.20411215712768,-1.2437080891818126e-05,-2.201871078486375e-05,-7.323628448812226e-05
63,65603040850.01464,2621.5491576818295,-0.16983207523414512,-4.6312913221926065e-06,-1.1190523552662366e-05,-2.922168166103466e-05
64,86913395078.71815,527.8274400686944,-0.5212018715622087,-9.479308381858674e-06,-1.720908944819851e-05,-4.493349626339212e-05
65,291536121743.6987,1203.377141679267,-1.2331587116242844,-1.7805469978966595e-05,-2.985711174283762e-05,-9.410539677114473e-05
66,66777755607.86916,1705.3183162952694,-1.432143449642289,-3.845524004132828e-06,-6.6810263144151575e-06,-2.8014375689775923e-05
67,125288984287.478,431.42255383554624,-0.24444525024438413,-1.4216274633173862e-05,-2.4344373524651777e-05,-5.586402355433054e-05
68,197134861312.54175,765.7825586101019,-0.06678448656300917,-1.920885122241562e-05,-3.639970080823773e-05,-8.113370345418855e-05
69,98589170214.49477,1438.4417501952105,-1.7820697820830431,-5.184293733105743e-06,-7.3057555225325955e-06,-3.842468900885488e-05
70,231110195790.38794,2429.243605800746,-0.8241711968194414,-1.3349810101263364e-05,-2.7902220211992865e-05,-8.142998484348378e-05
71,298195393225.38293,1235.8108179655167,-0.7550100837972564,-2.0725592982643273e-05,-3.8517805982000945e-05,-0.00010174224244132966
72,62042522371.594734,594.9559680503592,-0.40736261016737263,-7.101832924948486e-06,-1.3966061711221152e-05,-3.705378619497263e-05
73,49931209811.88657,1038.465344584013,-1.8212733756219515,-3.0201364430396634e-06,-3.9917802265911414e-06,-2.3151531424254576e-05
74,43190082489.80161,2171.6918849428307,-1.2029376026875986,-2.4881401652263885e-06,-4.823012835539553e-06,-1.8261166985110384e-05
75,75073504819.29108,874.589060401223,-1.9737810068090342,-4.394597266652893e-06,-4.932117658481853e-06,-3.2546731303670706e-05
76,110502922517.79645,1701.3215697532846,-1.7654683027251348,-5.4818638771487484e-06,-7.991101910325965e-06,-4.093489389101258e-05
77,45329585110.042816,2693.206137011717,-0.2518752840757954,-3.1358373501323496e-06,-7.555178216301326e-06,-2.038824208149861e-05
78,136419766890.58905,1218.680452409968,-1.1208638017622876,-9.37868428704364e-06,-1.6973208988499197e-05,-5.6405605470849326e-05
79,42775139023.90363,2521.3348471668824,-0.2992258407529864,-3.0074789144565994e-06,-7.1704407985203e-06,-1.9647600233178197e-05
80,47471916552.96537,1861.4614962471426,-0.5310182930393703,-3.53680419762569e-06,-7.930849094734763e-06,-2.3153496815218624e-05
81,180944432545.81754,2256.914345552349,-1.2141640525488056,-9.669595658511695e-06,-1.840422435258242e-05,-6.377314727799105e-05
82,59207878234.29336,2132.5463934089075,-1.5789881502442698,-2.982526987955609e-06,-4.971898770886176e-06,-2.3034143707643425e-05
83,175005355458.24445,419.4162759691855,-1.106096559815244,-1.464197526553323e-05,-2.0845551557792143e-05,-5.800353224510217e-05
84,100714995921.7745,378.29769575327106,-0.9782654929250296,-1.0109344096595702e-05,-1.547871071246781e-05,-4.433862675113171e-05
85,239964841639.3582,1991.3122013360958,-0.023832039607199595,-1.799928580324493e-05,-4.0709193096455085e-05,-9.523571936625467e-05
86,125586252502.33482,465.681269136419,-0.6069351223555304,-1.2864375715950726e-05,-2.149809715587541e-05,-5.44428292418616e-05
87,42600003821.86788,2325.633068813767,-1.7489774174785169,-1.962179575575134e-06,-3.0060950905951983e-06,-1.60768902150666e-05
88,46461311325.08791,2589.382093971714,-0.6262211769589068,-2.9620569941701863e-06,-6.693206067370975e-06,-2.006363367411904e-05
89,142273785371.86584,777.2725026498267,-1.5507506445081947,-9.553837491464922e-06,-1.375708817426062e-05,-5.429588727587629e-05
90,88536542568.71579,2073.7902579670717,-0.9406076814053606,-5.49757648873312e-06,-1.1308448062592046e-05,-3.667029111370125e-05
91,111162516082.45459,2478.5723564064174,-0.7268358489025553,-6.805257828853706e-06,-1.484932081312462e-05,-4.402964323738537e-05
92,70939428165.57312,2126.6721109842642,-1.8984832966060787,-3.1296356731745805e-06,-4.283203648700016e-06,-2.5677712043610863e-05
93,233466613728.55304,381.8336368890249,-0.22740713967556792,-2.2183608260023818e-05,-3.505671518511164e-05,-7.346401576380832e-05
94,177839812833.84933,1351.2293899554684,-0.18742667503622212,-1.486838848944802e-05,-3.165591989263522e-05,-7.683854326925324e-05
95,136578826547.57361,2190.4978012576166,-1.7988570173786216,-6.061614261107356e-06,-8.978904115503988e-06,-4.61093652868332e-05
96,106300072236.63858,1185.6788209075967,-0.3999587689534525,-9.252489509298814e-06,-1.9501302278783742e-05,-5.1689218967846946e-05
97,48187234567.91865,994.0830132605644,-0.9772229846921379,-4.032305275649969e-06,-7.721818700313992e-06,-2.5979904667894396e-05
98,226676348446.22174,2243.6583041471577,-1.8233295647702972,-9.643562638264206e-06,-1.4088394491548955e-05,-6.995950735330642e-05
99,49770994957.97936,774.8155917188524,-0.7264436931479457,-4.903954785165758e-06,-9.64185120815948e-06,-2.915468570736847e-05
100,297963690082.17584,521.4964634050642,-0.1778584150524638,-2.6542557518124715e-05,-4.402351248612178e-05,-9.188941079511053e-05
101,78789713095.44164,1768.2260494709303,-0.15004780807607543,-6.461856096449813e-06,-1.5017643797385001e-05,-3.8515065967015995e-05
102,47830587510.551254,2248.6484526895356,-1.0299265904072954,-2.864079556576061e-06,-5.851079035056123e-06,-2.036310364902248e-05
103,105234548350.86366,464.0115800116629,-0.9396251517067562,-1.0183076651186025e-05,-1.6357919647778787e-05,-4.701961220573497e-05
104,183003764342.448,2646.262060598758,-0.296977387135146,-1.194894039972863e-05,-2.765984710787671e-05,-7.075429232151122e-05
105,88059386749.81386,471.1952458442614,-1.7009970728643287,-6.774752623513143e-06,-8.492988787091873e-06,-3.7790116176397816e-05
106,268213569055.90088,404.66094306720964,-0.6587117720726554,-2.1941552197789795e-05,-3.357310805413301e-05,-7.670980853518435e-05
107,114852403844.05318,947.6840618216129,-1.685328732091439,-7.1208950984018296e-06,-1.0012262470529899e-05,-4.651206664086933e-05
108,80768856058.37622,593.8301189001045,-0.2523365066094321,-9.267543432936239e-06,-1.8085639330901e-05,-4.496350990906611e-05
109,77502442185.76431,578.3939267444534,-1.7023158014392534,-5.767103984405013e-06,-7.561204163272648e-06,-3.577905006861495e-05
110,118603722693.55658,1512.4074738017985,-1.5907124241188253,-6.53379020939313e-06,-1.0319826560943451e-05,-4.5728502590445566e-05
111,106412824530.21439,1502.927512459623,-1.9543510467667689,-5.100412247553584e-06,-6.3159827536464045e-06,-3.941851123588635e-05
112,150426381818.0905,1592.3330296023935,-0.18578956853112039,-1.2153172185671505e-05,-2.6908940615289705e-05,-6.687092225197523e-05
113,137473265902.06424,311.74317442402815,-0.9898405768037373,-1.2988330403729578e-05,-1.8034151032109373e-05,-4.77841834035398e-05
114,41401681761.43742,2089.077917208234,-0.7894612218348263,-2.7536333266383335e-06,-5.936437343407497e-06,-1.896855801669658e-05
115,45248436946.46926,2003.9134396402164,-1.7738246401358273,-2.179828829720014e-06,-3.225914055036358e-06,-1.7799196711626883e-05
116,84686663902.95601,1148.0454510061168,-1.653234911783586,-5.121550465483209e-06,-7.596335353706884e-06,-3.617359064348646e-05
117,40512356771.405304,495.3049759309186,-1.383425856828957,-3.8442431561863835e-06,-5.974771576637982e-06,-2.4122624335287212e-05
118,41660481038.482574,2118.119121104217,-1.3917861132880058,-2.275256076844134e-06,-4.116296551378602e-06,-1.7281162483900456e-05
119,141930343576.40347,1572.0359800953895,-0.011895931662079251,-1.2053787782651197e-05,-2.7261267047915023e-05,-6.540579659900817e-05
120,104015293678.55435,2412.359983294028,-1.6207283401291248,-4.834572087098351e-06,-8.029763780428225e-06,-3.651829404918849e-05
121,88951692204.43889,1803.0044985462475,-1.6028234245576303,-4.653732890169556e-06,-7.515457253441293e-06,-3.4420132286044016e-05
122,279366395837.59076,2124.7056963908417,-0.8008363965471001,-1.67094542474273e-05,-3.409046990499644e-05,-9.63708013290707e-05
123,129480912246.55162,581.2406217134255,-0.0990954203813601,-1.4286733009792533e-05,-2.6541168946904635e-05,-6.049260758429195e-05
124,54369598509.77424,2422.468414175917,-1.1841339400201076,-3.0015502859283047e-06,-5.900939791852877e-06,-2.180982933251684e-05
125,47349528147.499695,2385.277222875487,-1.9199195422043316,-2.007326110877016e-06,-2.7372432441262693e-06,-1.705314135883032e-05
126,163347504206.95425,2532.6220825272994,-1.531805856086081,-7.575703636033312e-06,-1.314808474625009e-05,-5.4366527321182557e-05
127,277871947071.7603,693.1063305544847,-0.03741072704202941,-2.572755018743417e-05,-4.537958798477721e-05,-9.541101817494707e-05
128,212411699637.52744,1497.625217986306,-1.934887856513696,-9.811364205289635e-06,-1.2336184757306295e-05,-6.808971019517232e-05
129,99055132385.69334,2162.4459898139066,-1.3982926596669225,-5.200066970816399e-06,-9.373991663593132e-06,-3.7304697280768885e-05
130,74248451226.27797,1499.373268824459,-0.8937369752165523,-5.324824606656411e-06,-1.0737548407229837e-05,-3.439463141052198e-05
131,42799578280.25084,1018.0466492258857,-1.0170117707280657,-3.527621883359388e-06,-6.738259415926703e-06,-2.3295949934582922e-05
132,64687378941.80953,758.3077401960595,-1.5195106153026672,-4.845014606958254e-06,-7.3514311147405444e-06,-3.188417024090432e-05
133,58162231797.74916,2356.845184123155,-1.4572699236936975,-2.9515013763367366e-06,-5.2528072839876304e-06,-2.2402929477000246e-05
134,215328954318.38516,466.05056012743506,-0.24582893865848554,-2.1030010854330208e-05,-3.4040907796432636e-05,-7.349897499312736e-05
135,179890370794.66928,911.9361348879868,-0.22702297476465372,-1.6486248321570755e-05,-3.214215823081084e-05,-7.574870858753513e-05
136,121850876825.93047,2724.5830950670124,-1.7672479009620465,-5.099546674654078e-06,-7.977843343183643e-06,-3.9700108770376016e-05
137,272196835139.72784,2301.951567959988,-0.47881635319864113,-1.733141663372418e-05,-3.7726937147032574e-05,-9.778273964182503e-05
138,44985485918.59315,2399.2534061804045,-1.7920527276545248,-2.009957962837944e-06,-3.0095575218484995e-06,-1.660303650219985e-05
139,60909489903.685425,2173.227765778376,-0.5094650517351953,-4.256663564955235e-06,-9.649648596583446e-06,-2.7671488267144903e-05
140,131020115516.99358,2573.630222758374,-1.6543212080534107,-5.826748479619307e-06,-9.606849692567335e-06,-4.3780109191907595e-05
141,71063119016.98174,1897.8945765804067,-0.9024157509280639,-4.658308511013094e-06,-9.622938716749567e-06,-3.1178362950692665e-05
142,236634862845.05914,2311.5552109814375,-0.8864708956850187,-1.3626987700111557e-05,-2.791432963393052e-05,-8.291263046543495e-05
143,43388082602.17928,2515.348595306992,-1.0060639570338463,-2.5117739084668393e-06,-5.2140779752797115e-06,-1.797315155879959e-05
144,60366463197.750175,909.3784212743964,-0.9771361556649258,-5.134622924440071e-06,-9.644419655337467e-06,-3.1879046638999836e-05
145,254885886909.82404,2243.4726257619814,-0.7993450282401344,-1.5106305698088477e-05,-3.122939660239258e-05,-8.934032753950216e-05
146,111669017510.03674,1751.1147314711218,-0.4918329520239264,-8.266494165230364e-06,-1.8048023105087228e-05,-4.9635005414705165e-05
