,ns,Ts,V0s,Is_0,Is_1,Is_2
0,168201945295.32275,1963.1749357622516,-1.4558306785642205,-8.722277539397313e-06,-1.5044282668115894e-05,-6.39129950587035e-05
1,132348887130.2583,1637.4564154470763,-1.6430109580420535,-6.910370633102558e-06,-1.072650511042085e-05,-5.280351155696136e-05
2,82152216619.50671,531.2677592790305,-1.3831725480521815,-6.978563072464017e-06,-1.0442731218599516e-05,-4.155619060406086e-05
3,118657859306.96724,1091.4533143273434,-0.005278475217488365,-1.1539215691674161e-05,-2.499154118426493e-05,-6.307629348842485e-05
4,56109495060.27788,671.6976212564934,-1.9122987877771997,-3.7799804469633774e-06,-4.3663421616914465e-06,-2.9555436626493286e-05
5,66820718295.84405,1991.4091980309063,-0.3532422364164396,-5.013972351326295e-06,-1.1536869228062435e-05,-3.364672352254784e-05
6,295926910124.4165,387.13822923102606,-1.7514887591881074,-1.686279567364021e-05,-1.9697583041418135e-05,-7.385408927898561e-05
7,110681017108.96722,874.3114509283764,-1.305085877371862,-8.09835624389296e-06,-1.3313817332012601e-05,-5.167926071218371e-05
8,214571978239.43195,1666.3535819451567,-0.6696822249634162,-1.4645184211735465e-05,-2.9838394588722954e-05,-8.725107004593312e-05
9,175668628262.9199,2628.9716253279203,-1.6798466714829514,-7.595107393843207e-06,-1.2376541939759133e-05,-6.057378786749565e-05
10,291774038505.4984,1590.185455951238,-1.7780563163492382,-1.3729962903954298e-05,-1.9407205827808518e-05,-9.367153685373884e-05
11,63765739086.29976,2192.5274226183597,-0.9633185603360157,-3.899605961369683e-06,-8.061135660454932e-06,-2.8938789915644803e-05
12,48568311043.67502,1004.1847008142186,-1.8768201053506577,-2.908723720995178e-06,-3.6592483711567243e-06,-2.4537539504191564e-05
13,66525896147.25708,812.8672344641624,-0.3723472900145204,-6.909546327873465e-06,-1.4274328681092538e-05,-4.055696518913293e-05
14,97322302487.183,1042.7630951627348,-0.22506629225512853,-9.306240304287317e-06,-1.9816556533312505e-05,-5.337483403916949e-05
15,65910675707.51059,2065.529285022415,-0.8813082883127057,-4.221532588994551e-06,-8.845674297513765e-06,-3.0683463621923e-05
16,50148928564.98734,546.9046038775302,-0.0760908609555917,-6.566835903765492e-06,-1.3550647707064889e-05,-3.5541426480613964e-05
17,47494931347.47097,2252.3715197748493,-0.7220515514542214,-3.1131388096115933e-06,-6.8328681447837925e-06,-2.2728237961050377e-05
18,94039384585.77827,2499.9586465678613,-0.40283561586515404,-6.299247473322205e-06,-1.4568595598910755e-05,-4.2350750690634586e-05
19,83785408410.0302,2194.145267778027,-1.7347283426377116,-3.886866294125516e-06,-5.987697759786302e-06,-3.292583757747109e-05
20,136721272875.53966,2180.241086611366,-1.4265268475938029,-6.9869179792013805e-06,-1.2415215573080937e-05,-5.286049910850498e-05
21,193403530498.32175,1499.0408343155295,-1.8373618102025717,-9.371140621201855e-06,-1.2697894356677432e-05,-6.967627039641293e-05
22,56565442276.63102,599.8317046614252,-0.7129325849878534,-6.015547029859994e-06,-1.1344810020806108e-05,-3.558331193449581e-05
23,178595303196.21262,1765.8697365949183,-1.6687614757804718,-8.83742215635869e-06,-1.3616981884190097e-05,-6.610433118635775e-05
24,240567528274.91266,2607.9838138984073,-1.4016964685450521,-1.1348700266933069e-05,-2.065316465958529e-05,-8.22974242240988e-05
25,82466894902.46602,1903.7086527946633,-1.0088168904874373,-5.195192010412761e-06,-1.0431713791140986e-05,-3.747943453269321e-05
26,55218895579.95456,1197.7427440656365,-0.44296808522178854,-4.975113034811194e-06,-1.078216276906036e-05,-3.2150923885158395e-05
27,55848603096.71656,1562.7909225045169,-1.9399375381482924,-2.735363862130943e-06,-3.4452318427129965e-06,-2.4521523030932527e-05
28,166891148348.64334,2156.99601188214,-1.0238925581923328,-9.652630495037014e-06,-1.923987231342606e-05,-6.624467823865423e-05
29,210737762295.9759,2344.165263942027,-0.03902807415678411,-1.5106195150243457e-05,-3.523635553134033e-05,-8.92049188418968e-05
30,68554942996.89587,1517.8320563534644,-1.2772068803420624,-4.349145637404823e-06,-7.905165799701093e-06,-3.2592267908137334e-05
31,221778837511.09042,2152.1685238610216,-1.6656241174498512,-1.0175351208701393e-05,-1.614167780291634e-05,-7.645180606533235e-05
32,64403295720.60902,2441.215194275753,-1.8190750920908603,-2.8014572229962177e-06,-4.142898725557846e-06,-2.4859446176675982e-05
33,245178532555.6194,483.2554520837973,-1.5847638630414138,-1.589215908242526e-05,-2.0170904430567587e-05,-7.304051277930516e-05
34,185142919845.6914,1563.9997339947686,-1.5475215020096211,-9.932657251890446e-06,-1.5914420300846522e-05,-7.008288030884426e-05
35,236473213563.6396,2565.7945373767047,-1.0828131185653085,-1.2427911557577778e-05,-2.474314607644703e-05,-8.494588000882992e-05
36,175409469038.89978,1102.9249164883136,-1.2382399586750577,-1.1648552891783329e-05,-1.9758583314079594e-05,-7.102341820617164e-05
37,269366885552.16586,381.5401239975763,-1.422507385703904,-1.774283794962761e-05,-2.3358051912817685e-05,-7.311640705993115e-05
38,44957923736.94455,1342.0567263864964,-1.204779616115069,-3.122236803125549e-06,-5.792836493504298e-06,-2.371150071033289e-05
39,82628114907.74033,2109.2864122144283,-1.4496137732621253,-4.330709109538466e-06,-7.635960628428853e-06,-3.4327738423583956e-05
40,57432507642.1623,632.0933147150104,-1.3721928651272242,-4.8725700663228544e-06,-7.724411897827475e-06,-3.279258362378365e-05
41,53674265483.55907,1745.0132331701304,-0.9012026774247326,-3.67654207356708e-06,-7.58117381217061e-06,-2.6815632613660244e-05
42,291857009781.89667,2106.6328420260675,-1.5152658612358796,-1.3976892565657652e-05,-2.3504508350032473e-05,-9.682258642069236e-05
43,293475159622.0658,2385.99155276531,-1.0991856663298916,-1.5490196963454745e-05,-3.0176814813728334e-05,-0.00010169411687852462
44,110941466373.51286,1041.6445838571306,-0.6417795012163818,-9.404245583058304e-06,-1.8655731734291774e-05,-5.5908351262976396e-05
45,132205702124.22072,1120.9424562658082,-1.9063055783784462,-7.021189849017956e-06,-8.656592687582662e-06,-5.32004551109793e-05
46,103695550635.79947,2723.688887584939,-1.8458159329532344,-4.229036348807008e-06,-6.284624139076092e-06,-3.6818631603154975e-05
47,163967507900.41742,2058.647535024019,-1.4566182396236302,-8.378374851641335e-06,-1.4551656186070062e-05,-6.205568642095273e-05
