,ns,Ts,V0s,Is_0,Is_1,Is_2,Is_3,Is_4
0,202299999384.0841,2088.639924836284,-1.41852008073717,-0.00020403432696817768,-4.039388593212279e-07,-7.402047353890977e-07,-1.0428722609332319e-06,-1.856445075747652e-06
1,40990102438.281624,2429.501460489335,-0.8282255434398058,-6.898718746204389e-05,-1.1802825298717678e-07,-1.8744099386196457e-07,-2.5061526330658577e-07,-4.2066451384365214e-07
2,277707769163.31854,1693.8845655441226,-0.0941797737929746,-0.0003027604524631004,-9.431600197618395e-07,-1.3500231643471564e-06,-1.728488191361192e-06,-2.765662337707949e-06
3,116477182417.80806,1144.452776679555,-1.9787017142364318,-0.00010642756852927756,-1.5786676365431332e-07,-4.089976213194487e-07,-6.262778017924676e-07,-1.1997005807750437e-06
4,185282140791.8863,811.9168890075953,-1.0026707259307752,-0.00015643938179407086,-4.995717814150884e-07,-8.375150960745727e-07,-1.1424074383619731e-06,-1.9584781595777286e-06
5,158799404347.48425,1032.0337054143058,-0.5276634516652361,-0.0001698631019304213,-5.289040454146328e-07,-8.126801769993038e-07,-1.0739462385503366e-06,-1.7845182206732741e-06
6,268603932857.10123,1555.4354284947572,-0.6091136333116045,-0.00026782494358295006,-7.757811876593571e-07,-1.1891715519410737e-06,-1.569084247811122e-06,-2.6006537260565763e-06
7,43510074711.42173,1383.9629371718945,-0.7753327089391404,-7.492928365395436e-05,-1.4298216320767113e-07,-2.302580284614024e-07,-3.1015170184171817e-07,-5.266698983151132e-07
8,195662523048.84534,2326.771772229298,-0.289156913906347,-0.00025498245926862444,-6.342554540819197e-07,-9.288664459260629e-07,-1.2031482268018603e-06,-1.9566427128615295e-06
9,58582868084.56571,2687.409711469684,-0.7392696505314851,-9.306541545696566e-05,-1.7054713953574379e-07,-2.66007105428804e-07,-3.5343114795034067e-07,-5.900886101536465e-07
10,77902344273.77795,1272.0053911239702,-0.7760853455667103,-0.00011161096707015654,-2.5003520711505837e-07,-4.0364014361784523e-07,-5.447150477535018e-07,-9.284639725032915e-07
11,51618141224.05192,2353.609959176224,-1.3827123012443578,-7.177129621357015e-05,-1.1284861178206142e-07,-2.0563055637425923e-07,-2.8863576112434925e-07,-5.101265335684458e-07
12,238535625283.3229,2173.5751803941625,-1.7944417502078274,-0.00020974761983261547,-3.604533137063219e-07,-7.602700637723318e-07,-1.1126816763493003e-06,-2.0504282259849076e-06
13,41281437059.04458,1423.7702756774074,-0.8575006507357723,-7.07482302873697e-05,-1.3034506864979392e-07,-2.1310319957377774e-07,-2.8863074358429874e-07,-4.928414322534205e-07
14,65389901304.90724,1900.7740120786355,-0.7809351532439717,-0.00010177636810001886,-1.9805502992120115e-07,-3.161311921590644e-07,-4.2442216857060164e-07,-7.183840981348274e-07
15,109834991061.472,2407.368307463975,-1.783497333224602,-0.0001164646028089898,-1.753085644862052e-07,-3.7311799314775973e-07,-5.478267628017184e-07,-1.0129972140554387e-06
