,ns,Ts,V0s,Is_0,Is_1,Is_2
0,40264240211.12275,1815.4412689122016,-1.281050333618508,-1.758047671218941e-07,-1.494776230085511e-07,-5.085418360662503e-07
1,239076375699.4078,2315.7464897097607,-0.9180618543464121,-9.650377187772625e-07,-8.635220491489538e-07,-2.3310648741659493e-06
2,113168015145.03615,1968.3928906091571,-1.5025310472770443,-4.325138895549432e-07,-3.3256177093308876e-07,-1.194951170323552e-06
3,73855098003.32391,406.6808966836172,-0.9336422262773163,-4.3065314378061363e-07,-3.3662665197219577e-07,-9.734341456404032e-07
4,101622651834.21552,1042.704789546829,-1.4051962419815702,-4.4513811586418136e-07,-3.2932608143197465e-07,-1.1609013772266815e-06
5,49289788824.62328,770.5088468054607,-1.8773968454764782,-2.112051055609169e-07,-1.215413390950823e-07,-6.305373238582845e-07
6,126688787226.44771,1924.7595011463509,-1.2065258681140316,-5.230207051236868e-07,-4.351126024391237e-07,-1.3633308089844754e-06
7,106843359680.10849,2141.329854097191,-1.3601865373434594,-4.2162935680217826e-07,-3.426905885391584e-07,-1.1497527089599064e-06
8,249393026725.45074,2347.902532708963,-0.9045673235251948,-1.0030309850431127e-06,-9.009829077042149e-07,-2.4139896014829794e-06
9,266457891653.15714,1197.9906699127146,-1.5967427747824587,-9.320761922888823e-07,-6.751058342944815e-07,-2.385920688556058e-06
10,114345524208.63593,2549.1372429882376,-1.9975164821013236,-3.5697653115480737e-07,-2.2791214034095296e-07,-1.0977720891436781e-06
11,222700339862.72592,1680.2354920301502,-0.6633058833833521,-9.969168572922712e-07,-9.014229096443797e-07,-2.2950181880104646e-06
12,52342308948.716385,929.9717361545223,-0.1279080670546373,-3.4531855246013875e-07,-3.3274626561059833e-07,-8.060036955261236e-07
13,160134055912.46222,2473.5824153803633,-0.4342352278588004,-7.468283283956032e-07,-7.224406267190738e-07,-1.7670721803837437e-06
14,50424236636.24712,2751.520473418694,-0.3550546542972177,-2.4791477626283095e-07,-2.5948788609150927e-07,-6.407728037953472e-07
15,52553067078.85417,2189.2606817526375,-0.3495507983341821,-2.728318407850873e-07,-2.7906790221946786e-07,-6.968294306457701e-07
16,76619673951.73033,526.8332581650099,-0.5896094789419968,-4.719547023474634e-07,-3.9824882723074373e-07,-1.0455913275687438e-06
17,179569079475.93414,1512.2997825015339,-0.7343489278800286,-8.260790563173903e-07,-7.322296534594683e-07,-1.929745845686768e-06
18,41346415261.50025,2434.243084315876,-0.06167173255086622,-2.2211671953855444e-07,-2.4105922155384366e-07,-5.6423373502553e-07
19,45610693711.67727,728.6599465898838,-1.383180115686409,-2.3456502892028648e-07,-1.7242025137460603e-07,-6.366388067539673e-07
20,114948992127.5285,306.0884878627976,-1.987292469281174,-4.42073404370272e-07,-2.278659742965076e-07,-1.1583600077437454e-06
21,175779035715.7449,1295.8937908117985,-1.201361279944588,-7.336055186718974e-07,-5.880052551494741e-07,-1.8070406927173927e-06
22,274657493533.6942,1999.0921882606965,-0.773357811476082,-1.142536578357579e-06,-1.0342166772029652e-06,-2.66316135284371e-06
23,253512801122.10254,1018.3289317348965,-1.6722807782555207,-8.820210748211913e-07,-6.124071705278315e-07,-2.2738012946874926e-06
24,217721726284.632,673.2341836986922,-0.0952691380290216,-1.1702148984106872e-06,-1.0827349924196046e-06,-2.3827349158833654e-06
25,122128828512.62604,1201.832840490778,-0.13834538110427785,-6.962018625414823e-07,-6.562828926209706e-07,-1.538012852023333e-06
26,102087760832.30763,2315.6484814365494,-0.5348169534812215,-4.888760541205534e-07,-4.7203098497269716e-07,-1.2087343134210845e-06
