,ns,Ts,V0s,Is_0,Is_1,Is_2
0,199240903727.98093,981.3904524590674,-1.020402268536361,-1.8715324199719266e-06,-2.541203658630101e-07,-7.556266981041549e-07
1,47020017938.562355,1030.5341986341464,-1.5640040928153056,-4.812221147136771e-07,-4.277715872589004e-08,-1.5640643364886354e-07
2,271545912730.56552,1022.941704566715,-1.7554407381013026,-2.0716836335494286e-06,-2.0418505716794842e-07,-9.055676186220299e-07
3,287135232952.03015,895.1524371449124,-1.6880612157916948,-2.2186972761622457e-06,-2.3341017271767083e-07,-9.934996349482543e-07
4,67727137617.022545,1757.6437303137081,-0.3775055420928526,-8.467899969665004e-07,-9.807817898772939e-08,-2.2585093433795048e-07
5,76344801810.07849,2303.5387645314695,-1.5844201443198505,-7.039043089851662e-07,-5.9511172351088676e-08,-2.0378801338147682e-07
6,52406256476.42038,683.849708446048,-1.5625161583556597,-5.296503155957446e-07,-5.267324853594485e-08,-2.0126617371977227e-07
7,49035711607.54726,1130.9473509385416,-0.7184104467152752,-6.136283658944334e-07,-6.925509991917499e-08,-1.7702856684598417e-07
8,197381824337.7472,929.5426385126488,-0.6564143538703631,-1.9958613842435193e-06,-3.01418170613537e-07,-7.963147510025085e-07
9,219562083891.10883,1935.10605188717,-1.8569108430384291,-1.6579661300436934e-06,-1.389619504027996e-07,-6.137820068642115e-07
10,297963746138.5756,1727.3883299975657,-1.8688379244161362,-2.181020155959913e-06,-1.8688323437275302e-07,-8.544933918522671e-07
11,56375775316.60321,1230.6330118838173,-0.9071158481388211,-6.578058349432006e-07,-7.215373708426444e-08,-1.9538299337302103e-07
12,162825772514.6222,347.74364772667127,-1.7374403055683394,-1.3132224613798223e-06,-1.544236899427107e-07,-7.180241751018406e-07
13,294613521174.88654,525.2504677134995,-0.09689677731159807,-3.094053701859319e-06,-5.968480955581362e-07,-1.389215489233485e-06
14,72956684405.19344,804.0578898375097,-0.2759732013231797,-9.279365647604447e-07,-1.3519075872590457e-07,-3.188462344001538e-07
15,72673571836.47525,1619.2529692655594,-0.9921895354308392,-7.906270366543623e-07,-8.431679185075389e-08,-2.3211997679206886e-07
