,ns,Ts,V0s,Is_0,Is_1,Is_2
0,48368288814.84527,339.5322640938556,-0.46334535899855456,-1.8611965394207645e-05,-2.2611939863260404e-07,-4.6457781673122275e-07
1,111808827933.91731,1458.7526505766925,-1.9241950417902993,-1.935664694008433e-05,-1.5996603346007042e-07,-5.902438585274819e-07
2,61109564428.86954,1265.6700025778077,-1.624143095953677,-1.3187345001090668e-05,-1.22313886483408e-07,-3.737336892560375e-07
3,50973457773.17927,1841.3858273792407,-0.13387177278442564,-1.5502772951532178e-05,-1.986616974665962e-07,-3.7170403478008303e-07
4,60280800190.83689,1804.3698872825046,-1.634746843912682,-1.1750284579467087e-05,-1.1441344157912906e-07,-3.404937003635664e-07
5,271301828455.1255,317.54231020816235,-1.6801389402888265,-3.6436295397447397e-05,-4.62260133985153e-07,-1.3477244332485352e-06
6,41537422656.495544,2602.870171995513,-0.8131114035818132,-9.5791095173992e-06,-1.1882599922605534e-07,-2.5008245957447077e-07
7,187355830741.18826,1089.2946258347251,-1.693739758773018,-3.338559236657855e-05,-3.2172963536671694e-07,-9.93764620668058e-07
8,52946347593.63635,2589.209234863868,-1.159062143016118,-1.0906089762820586e-05,-1.2894427860771694e-07,-3.0097179173926284e-07
9,115743365503.74704,905.8638470242189,-1.8304310625889777,-2.2319240032225515e-05,-1.8752007462025698e-07,-6.62140981872794e-07
10,146611463928.23566,1779.839848360468,-0.6252041389834613,-3.535426931317754e-05,-4.487530040728491e-07,-9.238206388084686e-07
11,53150550863.43581,415.0875818308925,-1.8978030220848752,-1.287818819976145e-05,-9.406538451034505e-08,-3.757012221979113e-07
12,43212747767.35185,1086.1224375775837,-1.2864772980753454,-1.1367006977484808e-05,-1.1461372907759816e-07,-2.986807322451935e-07
13,55323844385.33441,1064.3581754951215,-0.6297553393294575,-1.716591439696385e-05,-2.0052042783922416e-07,-4.237258023181528e-07
14,106880142034.04962,2055.6276436987614,-0.9951735770613515,-2.3488749073161385e-05,-2.821648119856762e-07,-6.380366107020509e-07
15,87521959782.35205,723.8479392602595,-1.784001371252733,-1.870746144378533e-05,-1.5622446347631275e-07,-5.442128139257592e-07
16,108091254317.68156,611.4335575596897,-1.6597757186466846,-2.2883751408025297e-05,-2.129416658567507e-07,-6.73493133626583e-07
17,233563463754.20267,413.35762805448013,-0.2753828454838758,-4.990690048838714e-05,-8.195404123755762e-07,-1.5300243651209535e-06
18,294407865575.8013,577.5750357224208,-0.9697377626455894,-5.319237544015291e-05,-7.518713058999608e-07,-1.6465331398473701e-06
19,138766052323.7389,1330.3488599017542,-1.357842252916526,-2.8931451704811326e-05,-3.0918220092179113e-07,-8.090058744042894e-07
20,124168253215.14891,499.5393962831263,-0.21864849457395885,-3.642530162383909e-05,-5.084664677624451e-07,-9.7153197404954e-07
21,131176260373.66881,2383.815800238428,-1.5205894746033364,-2.311436835345416e-05,-2.517232787493839e-07,-6.810313735312313e-07
22,191487478504.39304,1880.685202471925,-1.5156718098895465,-3.4032205553401945e-05,-3.636906465801997e-07,-9.895777122986791e-07
23,138111037083.5088,801.0492518395529,-1.7140512966919625,-2.6710775018216995e-05,-2.4628848099540973e-07,-7.930197198180052e-07
24,157797977801.0433,2470.509079482464,-1.1076449448149288,-3.0818049077433214e-05,-3.7546858298925227e-07,-8.63290789495668e-07
25,218883363991.47168,1919.692074069285,-0.00016718940941573557,-5.6100248845136535e-05,-7.816726066023778e-07,-1.4179980437032392e-06
26,160690816000.79813,1050.0607908290008,-1.5671570522911091,-3.112263685605221e-05,-3.1109827917612433e-07,-9.020471966386431e-07
27,43420736133.68928,2468.709926307245,-0.5037205095652411,-1.106215298337314e-05,-1.411648854588842e-07,-2.782243898284183e-07
28,286174021272.519,400.8046927631767,-1.9041556286039534,-3.7925365111746115e-05,-3.905892235858345e-07,-1.3537930271721415e-06
29,244024407613.9423,2663.953724051262,-0.008079743202058065,-5.817506182889097e-05,-8.293770446630516e-07,-1.4906426729008928e-06
30,214457553446.7725,1500.6899860775584,-1.0435652408947818,-4.4295671717752874e-05,-5.324779805697013e-07,-1.2177178142728624e-06
31,97323313501.62323,2650.1044182573382,-1.807877104950512,-1.536299397689354e-05,-1.5234389581632323e-07,-4.775890214142348e-07
32,289393452289.4401,2055.6120094327207,-1.6771017690601984,-4.5046613252223344e-05,-4.7178558912407704e-07,-1.3515202680134284e-06
33,127890809149.33133,2187.9785276842076,-0.735419877604897,-2.914850328194616e-05,-3.6975183093052367e-07,-7.759350077082571e-07
34,103513810046.73047,2112.2196805588937,-0.8392970019088759,-2.366965364550212e-05,-2.926078230254309e-07,-6.326554602777408e-07
35,205352853361.24405,1646.0376686767881,-1.4249380923398491,-3.789849885333418e-05,-4.1370215970934346e-07,-1.0857848945087181e-06
36,150643559738.6772,1421.2976402700779,-0.7978742938429924,-3.594979064814966e-05,-4.394733933512627e-07,-9.4947410664846e-07
37,246533957874.3546,2652.4985533300123,-1.5865365116752443,-3.888536730408639e-05,-4.3140891213657733e-07,-1.1647453764707414e-06
38,214387814232.2955,1563.2013644860128,-1.3599191762237042,-4.027532813370659e-05,-4.4850622041804076e-07,-1.145809048414123e-06
39,69858385528.15889,2648.831398686175,-1.416129935697785,-1.2947576729308235e-05,-1.4609770692390728e-07,-3.750442031983312e-07
40,225518145229.14563,382.7247902251804,-0.7926560853375826,-4.33861941057766e-05,-6.594780244485184e-07,-1.3775400680417854e-06
41,64193476678.46388,1593.2153565746762,-1.6155151026839962,-1.2995955320365797e-05,-1.2517739521030556e-07,-3.730673150257575e-07
42,85466649464.84355,1905.454196451338,-0.9239060938461787,-2.000275879667213e-05,-2.3935487765215157e-07,-5.332151847861108e-07
43,77509323648.91049,2092.414356470508,-1.5907347788567396,-1.4419041709962168e-05,-1.4773648087899636e-07,-4.222512133070804e-07
