,ns,Ts,V0s,Is_0,Is_1,Is_2,Is_3,Is_4,Is_5
0,191477018302.94864,1430.052668323164,-1.147213636988085,-3.955814322932393e-05,-4.5962621927449573e-07,-7.922402953070603e-07,-1.0935835258647993e-06,-1.9053338434679817e-06,-3.6905867793277964e-07
1,106012862913.992,1948.424025587539,-1.600304839197144,-1.9504075454301896e-05,-1.984960145634285e-07,-3.9608861585277144e-07,-5.723200491199226e-07,-1.0437787617416036e-06,-1.6538703141477928e-07
2,205159959101.25555,1712.7786019788728,-0.5730310061274191,-4.75759224299987e-05,-6.183478844821682e-07,-9.467218087147219e-07,-1.2498238511154816e-06,-2.0766253141921967e-06,-4.3413158948695853e-07
3,126980185758.00313,1544.1727394471227,-0.18009286222091614,-3.575701692962862e-05,-4.707198674374387e-07,-6.887715733375727e-07,-8.919146495602609e-07,-1.450190834853039e-06,-2.9884933806240546e-07
4,198901554453.32605,929.874080826063,-0.8210037371549395,-4.5010174496524514e-05,-5.713614130519534e-07,-9.194306446929454e-07,-1.2358940546896878e-06,-2.0875762577767617e-06,-4.639096348991612e-07
5,293201109904.0057,1621.6063637693303,-0.8173393221133372,-5.927881931050289e-05,-7.68450139932172e-07,-1.2162411140189305e-06,-1.625260712362643e-06,-2.731041840241721e-06,-5.903650421556722e-07
6,174952088793.07718,1967.9056596116307,-0.5884110676823866,-4.066568070814097e-05,-5.267607871889953e-07,-8.081052105953731e-07,-1.0681644583899789e-06,-1.7787419505701041e-06,-3.557605076127595e-07
7,119187054564.35196,2260.7342733446235,-1.860032796399161,-1.89679773253773e-05,-1.7764354006592677e-07,-3.962160571873478e-07,-5.883376665937949e-07,-1.0990324063921597e-06,-1.6575627717917033e-07
8,122750950560.27742,327.6195490866971,-0.846678690280146,-2.9172020105704964e-05,-4.009459351441985e-07,-6.514068616377353e-07,-8.757290532297963e-07,-1.4702085913646795e-06,-3.7372944954028247e-07
9,83847808634.47893,1542.6885032493485,-0.966104015549822,-2.0527672317356608e-05,-2.3808503137704466e-07,-3.974119095702048e-07,-5.429930532579377e-07,-9.376581930561217e-07,-1.640732961923223e-07
10,168935878756.81796,1506.0454417251945,-0.5886970349645839,-4.122801433963805e-05,-5.254913557571979e-07,-8.110714467458053e-07,-1.0745403657504992e-06,-1.793056921518883e-06,-3.6852644725625373e-07
11,65658812095.162895,2440.245488775007,-0.17842022277486125,-1.7708968294153348e-05,-2.361992104934467e-07,-3.4215568074549264e-07,-4.4060317017277235e-07,-7.101539004308254e-07,-1.3312342839222952e-07
12,70704592398.29698,620.3353035870879,-0.5257694392094259,-2.3539753854798243e-05,-2.825113213764505e-07,-4.40359856514586e-07,-5.858384872436252e-07,-9.821993593980652e-07,-1.9980110066786062e-07
13,286570309662.5377,2761.2750636442615,-0.2791719528173058,-6.25472693497764e-05,-8.793301335408854e-07,-1.273921376169688e-06,-1.64140969603387e-06,-2.651093158335529e-06,-5.721389479835942e-07
14,171217237104.33502,846.2710347453012,-1.1558273775374408,-3.698376811159493e-05,-4.3140851957252127e-07,-7.534117250075276e-07,-1.042849813456808e-06,-1.8166512352386023e-06,-3.767043166513227e-07
15,164850799129.14578,2358.756867983088,-1.6165526735523101,-2.756268973122572e-05,-2.9219384900642105e-07,-5.729792980166915e-07,-8.23724536808895e-07,-1.4953510248753735e-06,-2.461796376901086e-07
16,154092052471.76624,1038.588808977946,-1.638488229286751,-2.9460276712025248e-05,-2.8412634810199053e-07,-5.900893446163938e-07,-8.601851407122533e-07,-1.5773399468998507e-06,-2.7941012851964886e-07
17,57226753972.62297,1240.007680102776,-1.3553603705360358,-1.3739113144267354e-05,-1.3967632368720238e-07,-2.621789409439066e-07,-3.723141082760709e-07,-6.679532041462603e-07,-1.0596335946551121e-07
18,165903092277.30765,2507.9109844442,-1.7729722863954103,-2.5845275977642537e-05,-2.607781826609857e-07,-5.443656415358104e-07,-7.954838252678363e-07,-1.4655656358329514e-06,-2.3282868669315782e-07
19,258875164231.71866,1145.5582312234737,-0.5546724323885643,-5.806598249168809e-05,-7.822615187878585e-07,-1.192874669512915e-06,-1.5690397713158265e-06,-2.5862893971589403e-06,-6.045855752540211e-07
20,216517217025.23608,1715.4997421396138,-0.4732064600625321,-5.083720623694816e-05,-6.719728346729181e-07,-1.0127741531610938e-06,-1.327977917550112e-06,-2.1888881550028755e-06,-4.679684234516568e-07
21,164709266529.74252,1359.9165708389755,-1.3276782164457461,-3.3461130428126494e-05,-3.657507774074125e-07,-6.670002483587047e-07,-9.381477243272046e-07,-1.6661356980525551e-06,-3.063120076147735e-07
22,125331389750.57295,2653.902306161492,-0.9311511652082922,-2.5837727983770678e-05,-3.261628336348005e-07,-5.271332488433933e-07,-7.113653184292171e-07,-1.2118690579285212e-06,-2.173754907658731e-07
23,50064245008.117424,739.0614652115423,-0.779977324344777,-1.644392504204785e-05,-1.8318761387066303e-07,-2.9964988306554056e-07,-4.064457236647023e-07,-6.966387928644917e-07,-1.247818588057106e-07
24,142067572808.7132,449.1236935402468,-0.41008238138389674,-3.742721441809799e-05,-5.309672692836687e-07,-7.999532862764313e-07,-1.0452958692873438e-06,-1.7047279579461003e-06,-4.4255585488987175e-07
25,51014883749.97426,1470.5036123464793,-1.7364574344540795,-1.0306545319196643e-05,-9.203868332855907e-08,-2.0165856418534267e-07,-2.9809507275324175e-07,-5.539483462370134e-07,-8.013853202791406e-08
26,229520551418.74808,1193.6411610128985,-0.15587522510095297,-5.7640420297496605e-05,-8.088339749256785e-07,-1.1724942872405126e-06,-1.5094683964666093e-06,-2.4293443287325785e-06,-5.810279606486498e-07
27,101268560862.02693,1687.4850844701364,-0.9645931388223423,-2.3724445661471873e-05,-2.797297164454518e-07,-4.6471786976483956e-07,-6.338742441439334e-07,-1.0927415396503654e-06,-1.945646369047502e-07
