,ns,Ts,V0s,Is_0,Is_1,Is_2,Is_3,Is_4
0,112955281973.01974,1516.0267859310625,-0.5623133210838476,-2.9718817788177372e-05,-3.7170105524647297e-07,-5.741873095861372e-07,-7.613195362635125e-07,-1.2725753544733613e-06
1,55179243907.683205,2237.4802672084043,-0.5564661199931553,-1.4119648779410588e-05,-1.7844529635601517e-07,-2.7239303188171556e-07,-3.588703824920953e-07,-5.939166304547417e-07
2,108857906693.09767,2674.222005077823,-1.7579190836966623,-1.7346601091436722e-05,-1.7659931897993707e-07,-3.668881701582615e-07,-5.352439827392854e-07,-9.837011762439222e-07
3,40238446212.27596,2528.4539952080813,-0.2931581956132032,-1.0763219170652383e-05,-1.3998300810571815e-07,-2.046486358292767e-07,-2.642910587612359e-07,-4.263091292648016e-07
4,75672468150.10052,1321.4581365207698,-1.1383661133544307,-1.8524507154439298e-05,-2.0326030946795557e-07,-3.5592901858215544e-07,-4.945531634429618e-07,-8.689269306109832e-07
5,47659837699.81759,2533.8836495022347,-0.22041916331783784,-1.2841517414953084e-05,-1.6928023826495858e-07,-2.456414709906191e-07,-3.163084424674401e-07,-5.08922851449558e-07
6,106722106283.14442,2057.0561038059673,-1.5293523080343794,-1.9837629815504044e-05,-2.0889953240924886e-07,-4.0364269574121356e-07,-5.779907444373402e-07,-1.045261006153461e-06
7,122458558289.99239,2577.613241744759,-0.55092834382043,-2.8177144461432852e-05,-3.7273817338919124e-07,-5.657510560055126e-07,-7.443946720027212e-07,-1.2328994751234347e-06
8,262076965030.22488,1923.1818121562608,-0.30809924844589975,-6.063599574889209e-05,-8.307015617219121e-07,-1.218394125366595e-06,-1.5782086981979529e-06,-2.563299402106351e-06
9,201314508100.2154,1500.4053575552946,-1.4225400358765328,-3.772933208114731e-05,-4.0934536017376923e-07,-7.625387555015103e-07,-1.0789692594815413e-06,-1.9261247562205467e-06
10,227549407339.72214,2218.4920090732658,-0.4431627846897057,-5.1451183971047366e-05,-6.925359705240528e-07,-1.0333363489735687e-06,-1.3494025330521844e-06,-2.21496198868604e-06
11,86996784223.87926,2732.004196389024,-0.7509026365193678,-1.9231648682501963e-05,-2.4796153852907734e-07,-3.8771393747058907e-07,-5.161461099704046e-07,-8.652204796337423e-07
12,67723457824.30763,424.56632459380194,-1.5504164589949938,-1.7219204070969686e-05,-1.6182522352272002e-07,-3.3593583501701203e-07,-4.896547972741547e-07,-8.974347650530496e-07
13,124122721483.04971,2205.8043196831673,-1.009594507933039,-2.627852592224357e-05,-3.1906093063610235e-07,-5.286499001435255e-07,-7.202649486248578e-07,-1.2400323294535972e-06
14,292969517384.6569,2549.9500881095287,-0.836283702271784,-5.6566300585299266e-05,-7.405778979139646e-07,-1.162778591364648e-06,-1.5506470270741466e-06,-2.6057695603006304e-06
15,283860193232.25555,2322.32028124374,-0.0647529042736501,-6.665056856828758e-05,-9.447795006585832e-07,-1.3421570364403979e-06,-1.7131650232281257e-06,-2.734025601403389e-06
16,83198877076.18002,828.156326682078,-0.6274463450700163,-2.5222318878331807e-05,-3.0044844979714854e-07,-4.74854616999526e-07,-6.353837940148742e-07,-1.0725068938412446e-06
17,107911566509.93842,1289.5944341326403,-0.4320537693321371,-3.046220097043755e-05,-3.8317422027202957e-07,-5.822207594053492e-07,-7.666040406852791e-07,-1.2711355706426135e-06
18,184937115731.03052,1793.5869754197618,-1.4563518066032948,-3.395812861212784e-05,-3.6727301599770366e-07,-6.886897671186379e-07,-9.771203753710653e-07,-1.7509231848952512e-06
19,116020103195.34729,2144.3274391905943,-1.0866866310138918,-2.4360170031910942e-05,-2.898518421002178e-07,-4.895860324275289e-07,-6.716869399916861e-07,-1.1647618096334999e-06
20,75695724408.1393,2001.3176995551412,-0.8742696085457715,-1.793252415995224e-05,-2.1665539580961946e-07,-3.5136403080934554e-07,-4.746994439965489e-07,-8.09235884289557e-07
21,194118909735.54047,517.2779903302852,-0.6771282030379917,-4.318201848336321e-05,-6.109112655887695e-07,-9.538032601386056e-07,-1.2630721464719322e-06,-2.086485983799098e-06
22,179634234528.00238,1824.9200088527912,-1.226401676916415,-3.54774350040607e-05,-4.0858942108227316e-07,-7.146260971991828e-07,-9.920040271850768e-07,-1.7403041153328635e-06
23,93548797287.26662,1245.7514961247907,-1.8235897727656527,-1.78443663291813e-05,-1.5217847033445619e-07,-3.5265790457868857e-07,-5.285786400629422e-07,-9.957185929558821e-07
24,171310515055.79398,1145.9740734261636,-0.25210526654975696,-4.6068238785156836e-05,-6.15878767503976e-07,-9.084940999451467e-07,-1.1797333874830254e-06,-1.921216665872057e-06
25,74143811386.28194,1424.6040907576912,-1.8752587426694425,-1.3800082124789052e-05,-1.1510959238419983e-07,-2.744422380453557e-07,-4.137374763966981e-07,-7.829444447117737e-07
26,136291040123.55705,794.6429348160434,-0.1719034238954098,-3.994601255414944e-05,-5.398369873736906e-07,-7.91912893974712e-07,-1.0254563879931633e-06,-1.6632144837861367e-06
27,134277609232.83513,1791.1617504823741,-1.540749608875944,-2.5066888154466107e-05,-2.59571832216765e-07,-5.062617214118575e-07,-7.269603099713108e-07,-1.318407350943127e-06
28,69856514967.8925,857.5854436705944,-1.1858044241944612,-1.8702034476224364e-05,-1.9609048662310403e-07,-3.523846641216786e-07,-4.938454351202052e-07,-8.751342905309554e-07
29,128319129607.3698,2538.5532701797033,-0.4610490899878439,-3.0172396401907388e-05,-4.0286307907398864e-07,-6.039302495526113e-07,-7.904298524814208e-07,-1.3012664143395735e-06
30,83873757100.21793,2081.270430296324,-1.0148689464056255,-1.870003724858668e-05,-2.2246045571441104e-07,-3.708764206494479e-07,-5.062682938824859e-07,-8.727332135388709e-07
31,106297285528.04533,1376.352434370152,-0.3022001390491933,-3.064405454018079e-05,-3.922432995941331e-07,-5.847868772081482e-07,-7.636873194795789e-07,-1.2543476090113928e-06
32,103154102017.1889,1251.1381006668125,-1.7582213726898512,-1.9879496462133564e-05,-1.7691791092692262e-07,-3.930785796982339e-07,-5.83583376543485e-07,-1.0903400885439452e-06
33,199403879409.38388,498.0087287827345,-1.1518960558545812,-3.8782908214818404e-05,-5.021049440100346e-07,-8.681216954378307e-07,-1.1915516187463135e-06,-2.0410745713382287e-06
34,80087134702.0777,2238.369804328844,-1.49010876305064,-1.5099039141432275e-05,-1.6208867041335913e-07,-3.0754800686161175e-07,-4.3774526366672894e-07,-7.862135252134937e-07
